truck,ID,GroupCount,mean_engine_power,mean_fuel_rate,mean_v,mean_mass_eff,mean_ego_m,mean_engine_rpm,mean_drag_reduction_ratio,mean_P_AD,mean_E_AD,mean_E_AD_true,mean_P_AD_true,std_v,mean_NPC,mean_NFC
L,9290,1855,100045.858623851,0.00690331934664653,19.9540590549865,25401.6266592214,25000,1478.90997746958,1,13367.2055686102,1.89444324541033,1.66838310884021,11772.1235709194,0.174847091964328,1.13198268834276,1.154888927857
L,9291,1759,110436.668140615,0.00763190215141285,21.0535909550881,25401.6266592214,25000,1560.53355563549,1,14171.0075029411,2.00836063355289,1.76077351202266,12424.0309399571,0.19226280049211,1.12689928752933,1.13800881261314
L,9292,1671,122016.313706632,0.00845851736593758,22.1516848785159,25401.6266592214,25000,1642.06765781364,1,16429.0103570681,2.32837204006281,1.92512418561852,13583.690509922,0.212558668997933,1.12380660419588,1.13522643270222
L,9293,1593,134349.914896298,0.00934433163862468,23.241873396108,25401.6266592213,25000,1723.03893225211,1,18498.2759975607,2.62163500332541,2.08248501930863,14694.0297177497,0.23949066850505,1.12011787815226,1.13707210284525
L,9294,1523,147130.887661143,0.00967927595050919,24.3095710938936,25355.2744616188,25000,1226.09370493425,1,19112.3659855421,2.7136175414746,2.19108331540903,15432.0885640193,0.313814251284558,1.11519318514895,1.12293757750462
L,9295,1457,160422.826737547,0.0105852909729505,25.4009088256692,25355.2744616187,25000,1281.26273024152,1,19257.5037484151,2.7342245338041,2.23247689268744,15723.6289842532,0.335246437494474,1.10635558827724,1.11923345065303
L,9296,1399,174499.288274508,0.0115261487712231,26.4710307669764,25355.2744616187,25000,1335.37918710315,1,20223.3649100775,2.87135971596307,2.3007671815452,16204.6064889898,0.371204826768448,1.10236795113849,1.11487608632424
L,9297,1345,187808.96447655,0.0123974892815778,27.5354823762082,25355.2744616186,25000,1389.21634912384,1,22639.7632811274,3.2144454967519,2.15960150058286,15210.3579930561,0.410149149081113,1.09154713251182,1.09874565669828
L,9298,1294,201630.18711027,0.0133185834002303,28.5934395378671,25355.2744616186,25000,1442.73648487934,1,20433.6952578781,2.90122290096737,2.01436941223808,14187.4692539961,0.451001328150888,1.07991661326596,1.08277385740955
L,9299,1249,215395.517872994,0.0142601005903307,29.6527236357086,25355.2744616186,25000,1496.32443111957,1,19558.9341372343,2.77702231149694,1.80782727854148,12732.7657851723,0.495798062631825,1.06410626586979,1.06362880012234
L,9300,1205,229398.946822473,0.01522488670221,30.7114112755187,25355.2744616186,25000,1549.88746724757,1,16168.4364704901,2.29563167939174,1.33599260733937,9409.57201049539,0.547215819581099,1.03977071986001,1.04198682744852
L,9301,1165,247279.456886769,0.0164744727482729,31.7760972695279,25355.2744616186,25000,1603.79650472007,1,12846.1319525482,1.82392326689968,1.17794778292637,8296.44148265368,0.571547301216047,1.02404843105725,1.03403982787481
L,9302,1856,105861.751082241,0.00725878130229447,19.9459880549569,27401.6266592215,27000,1478.28636281348,1,15566.8176249985,2.0451538934874,1.84323862770465,14029.9268667273,0.187697856818858,1.15259677190081,1.17244651351617
L,9303,1759,116879.95359862,0.00803451380726032,21.0440545906765,27401.6266592214,27000,1559.79459300966,1,17709.6194908394,2.32667319206638,1.99449167720391,15181.1989760183,0.208275340002289,1.14873354088332,1.15921042885814
L,9304,1672,128715.583393807,0.00888071398518481,22.1349205813397,27401.6266592214,27000,1640.78019941379,1,19275.5281958117,2.53240080845966,2.16424108060816,16473.2572476041,0.2351287426819,1.14434438936791,1.15598066504081
L,9305,1594,141020.761768237,0.00976694724545295,23.2218071518193,27401.6266592214,27000,1721.49625575939,1,20860.6715387501,2.7406554535414,2.27988852024813,17353.5150156899,0.267951035946105,1.13718514626894,1.15470558254082
L,9306,1525,153772.976905285,0.0100925839876959,24.2781269606557,27355.2744616188,27000,1224.46093799407,1,21688.6855598354,2.85426739640131,2.36719392733941,17987.5665517352,0.351224423825635,1.13018076000015,1.13875994221823
L,9307,1459,167498.950929253,0.0110238894033685,25.3622004434544,27355.2744616188,27000,1279.25937193082,1,22434.937318468,2.95247537946675,2.45160468469409,18628.9775058881,0.372419961577994,1.12460471843662,1.13585565455237
L,9308,1401,180516.743553205,0.0119002575750375,26.4319473775874,27355.2744616187,27000,1333.33807639926,1,22910.371833868,3.01504335910233,2.37301007396354,18031.7616315163,0.409376837438013,1.11251966268812,1.12315883555852
L,9309,1347,193165.014448337,0.0127266552331033,27.4967105003712,27355.2744616187,27000,1387.17417227357,1,21554.7423066167,2.83664023962524,2.15532006890823,16377.6033437832,0.446659132069813,1.09651045437537,1.10192965700902
L,9310,1297,206759.814055698,0.0136321622369969,28.5489261441789,27355.2744616187,27000,1440.39318384284,1,22065.6278352618,2.90387363206306,2.04428292158996,15533.8667770258,0.489720746110489,1.08366984428999,1.08455788999273
L,9311,1250,220615.932920425,0.0145634273182728,29.6137966072,27355.2744616187,27000,1494.24188096314,1,19456.9561345483,2.56056806092923,1.73816791370601,13207.7945388353,0.540278784387264,1.0636791669533,1.06381954213302
L,9312,1207,234635.852008509,0.0155502505601549,30.6820656951119,27355.2744616186,27000,1548.28174169678,1,13184.3846133001,1.73508712824196,1.25437586308702,9531.61000354869,0.572014430927243,1.03521769318367,1.04270346995567
L,9313,1166,255674.933547779,0.0170014192227358,31.7481852950257,27355.2744616186,27000,1602.27374852082,1,14412.6619421241,1.89673048480817,1.26197015826567,9589.31667825828,0.592403490290769,1.03630342179087,1.04659276768489
L,9314,1857,112002.021505568,0.00764029810904561,19.9362158217555,29401.6266592215,29000,1477.54424549829,1,18901.3868070561,2.31432747902269,2.04361762949693,16690.4673824088,0.202732936403178,1.17445610966073,1.19314837636285
L,9315,1761,123313.984473904,0.00843936257197382,21.0292977643384,29401.6266592215,29000,1558.6767900625,1,20123.5351170748,2.4639700129907,2.20554943136316,18012.9835998326,0.227839569025972,1.16818469602509,1.18002113934658
